#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Diffuse reflectance edge major)	
645	0.98258	645	0.478727538431708	645	0.194210047288528	645	0.420498472725246	645	0.290992073138478	
650	0.9825	650	0.491472073825989	650	0.221822556536853	650	0.464186741550064	650	0.298298146230548	
655	0.98253	655	0.542157845102513	655	0.265120320508382	655	0.532998915557353	655	0.316880230260299	
660	0.98256	660	0.636851874718338	660	0.324944326036344	660	0.628546406515586	660	0.342805502691877	
665	0.98259	665	0.733453912450761	665	0.375620515742506	665	0.709365791693359	665	0.360135006800788	
670	0.98262	670	0.795774170837398	670	0.392843608968024	670	0.757676850355097	670	0.366155974633595	
675	0.98265	675	0.82334916233305	675	0.381982158620731	675	0.785371859665527	675	0.372596592168976	
680	0.98268	680	0.834576682102597	680	0.359724181691046	680	0.804314014977665	680	0.391130672205888	
685	0.98271	685	0.837721487576016	685	0.333844471936431	685	0.820020176933824	685	0.419383587882408	
690	0.98274	690	0.838446943865589	690	0.311080340080001	690	0.832051344018222	690	0.45464640971959	
695	0.98277	695	0.837990684023007	695	0.294224349058034	695	0.841192245023337	695	0.491271934863434	
700	0.9828	700	0.835951313577514	700	0.284113215691549	700	0.846418052832765	700	0.522505156289602	
705	0.98277	705	0.836537507826758	705	0.282549497702936	705	0.850433200771962	705	0.545810135534597	
710	0.98274	710	0.835806060761613	710	0.290041626812798	710	0.853603952497853	710	0.555891903426435	
715	0.98271	715	0.837774888723835	715	0.307728865953465	715	0.853757289265714	715	0.551860486556867	
720	0.98268	720	0.843254053661549	720	0.332287553645187	720	0.855679287698639	720	0.533466704471886	
725	0.98265	725	0.84913200175924	725	0.366902571822544	725	0.855452086198063	725	0.503021825114632	
730	0.98262	730	0.859524830640882	730	0.403454277693017	730	0.855534064431314	730	0.467779324836119	
735	0.98259	735	0.870188396770582	735	0.434398963851548	735	0.856335273283544	735	0.429254675615681	
740	0.98256	740	0.881994919582027	740	0.456410724120523	740	0.856278678446325	740	0.393137936733887	
745	0.98253	745	0.892367940667406	745	0.459564848301564	745	0.857278149577521	745	0.361121048087957	
750	0.9825	750	0.901186848471698	750	0.447704769896095	750	0.857862941708385	750	0.335646489252497	
