#ReRa Photor SR measurement
Wavelength [nm]	SR[A/W] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Total reflectance centre)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Total reflectance edge major)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Diffuse reflectance edge major)	
500	0.396005892847524	500	0.0280823472503632	500	0.0130901712034926	500	0.0366192030066641	500	0.012188702596621	
505	0.399986316641161	505	0.0278039992994388	505	0.0146222296584593	505	0.039406237030705	505	0.0135783469963964	
510	0.403967143699455	510	0.0287242869315144	510	0.0168870580033758	510	0.0420435262921942	510	0.0157453854686321	
515	0.407948374022405	515	0.0316143203994988	515	0.0188561003448202	515	0.0430846114431531	515	0.0173217635787947	
520	0.411930007610012	520	0.0349644154463464	520	0.0205367809200009	520	0.0435721446168873	520	0.0198834633067527	
525	0.415912044462276	525	0.0386071796692105	525	0.0232054660537008	525	0.0423010934189803	525	0.0217905520600421	
530	0.419894484579196	530	0.0414866794439486	530	0.0251878924883176	530	0.0421175108377477	530	0.0243920780319342	
535	0.423877327960773	535	0.0418810580473343	535	0.0276674045119117	535	0.0428896828297948	535	0.0272758863304363	
540	0.427860574607006	540	0.042847530086318	540	0.0307583882718121	540	0.0457727785251873	540	0.0292513009763947	
545	0.431844224517897	545	0.0433087749743446	545	0.0338224522145474	545	0.0494016947925306	545	0.0320883161074231	
550	0.435828277693444	550	0.0463704827666437	550	0.0364681710060704	550	0.0545690926487993	550	0.0345572674986387	
555	0.439826162846714	555	0.0501206822638782	555	0.0390749988350461	555	0.0590663109201524	555	0.0369982316127403	
560	0.443824693223436	560	0.0553668810976161	560	0.041375676452511	560	0.0629704470843936	560	0.0398066460353806	
565	0.447823868823608	565	0.0618486490569143	565	0.0438360214842791	565	0.065600808756867	565	0.0425808740134158	
570	0.45182368964723	570	0.0674985923935977	570	0.0461288985774131	570	0.0678847482740884	570	0.0458714739464883	
575	0.455824155694304	575	0.0728340416658001	575	0.0489189540721152	575	0.0690496007272184	575	0.0493816530879078	
580	0.459825266964828	580	0.0762114199117994	580	0.0518558186857979	580	0.0708358803422668	580	0.0534888495231762	
585	0.463827023458802	585	0.0789843392746486	585	0.0552364710050442	585	0.0735215529080782	585	0.0572633938962619	
590	0.467829425176228	590	0.0802112223148714	590	0.0593685438694058	590	0.0775821543333545	590	0.0612359767571215	
595	0.471832472117104	595	0.0819626506678184	595	0.0639388172810074	595	0.0826985725785785	595	0.0651717972884952	
600	0.47583616428143	600	0.0839627989646536	600	0.0686931010403218	600	0.0892344733119009	600	0.0689007001612637	
605	0.479762429631677	605	0.0874787366105575	605	0.0739775171512486	605	0.0964416195399803	605	0.0731628694993251	
610	0.483688049758473	610	0.0918456437899328	610	0.0792258874190654	610	0.103913401661065	610	0.0770099217290553	
615	0.487613024661818	615	0.0983206828272502	615	0.0845152785469459	615	0.111859331087574	615	0.0821705091316877	
620	0.491537354341712	620	0.106990392869845	620	0.0905928487065985	620	0.120557965206494	620	0.0875884838595116	
625	0.495461038798156	625	0.117102432572241	625	0.0973555688506519	625	0.129264937575983	625	0.0951709274581072	
630	0.499384078031149	630	0.12914034082647	630	0.105244561494174	630	0.139623179318052	630	0.103683925983616	
635	0.503306472040692	635	0.141195974943344	635	0.112595073148129	635	0.149047876939218	635	0.113431370221413	
640	0.507228220826784	640	0.152284227955294	640	0.119875394499183	640	0.157910735923594	640	0.123248655878409	
645	0.511149324389425	645	0.163199473932687	645	0.127600332544474	645	0.166645258712067	645	0.13453374951438	
650	0.515069782728615	650	0.173878856339022	650	0.135768401515584	650	0.17573577664501	650	0.145918109887363	
655	0.519047706281381	655	0.18689184756362	655	0.147957118834279	655	0.188170552182916	655	0.161886836770325	
660	0.52302587179294	660	0.209899105026948	660	0.170566993283806	660	0.214226737259006	660	0.189177942428365	
665	0.527004279263294	665	0.244795902740528	665	0.204664855362886	665	0.256208226720619	665	0.231549461240181	
670	0.530982928692442	670	0.279551525111091	670	0.240418045926428	670	0.300391508233738	670	0.27463388221922	
675	0.534961820080383	675	0.305004532217366	675	0.269547734687828	675	0.333451883873389	675	0.304641442067453	
680	0.538940953427119	680	0.321341454588925	680	0.289340586471264	680	0.352114642984747	680	0.320360688326231	
685	0.542920328732649	685	0.333310298473971	685	0.304824243509234	685	0.363705315263397	685	0.328781170258818	
690	0.546899945996972	690	0.342437168854143	690	0.315978515114374	690	0.372862077708772	690	0.332885621618648	
695	0.55087980522009	695	0.349778290453252	695	0.323298433230808	695	0.379365169240669	695	0.33545081371947	
700	0.554859906402001	700	0.356617570122812	700	0.32806851525997	700	0.385770750274348	700	0.336708946160514	
705	0.558806133352753	705	0.361704718084803	705	0.329975130091777	705	0.391518809004391	705	0.33754123547372	
710	0.56275211834471	710	0.367181139043212	710	0.330341536249517	710	0.396811589897072	710	0.339448612465845	
715	0.566697861377874	715	0.372226090056539	715	0.330250171894175	715	0.402509381722928	715	0.341587284872653	
720	0.570643362452244	720	0.376784014710312	720	0.328807893029288	720	0.408088043315466	720	0.343873711622053	
725	0.574588621567819	725	0.381715084374218	725	0.327388655239818	725	0.413656340206939	725	0.347768881401638	
730	0.578533638724601	730	0.386454554816647	730	0.32582750831839	730	0.419622961916874	730	0.352968503176808	
735	0.582478413922588	735	0.390493780131679	735	0.324419723068639	735	0.425171718507655	735	0.358282926203118	
740	0.586422947161782	740	0.394858129910468	740	0.323348633403042	740	0.43048178592701	740	0.366126248589312	
745	0.590367238442181	745	0.398861773045588	745	0.323390208745204	745	0.435891157318278	745	0.374163098590762	
750	0.594311287763787	750	0.402971420815396	750	0.323948229506331	750	0.441839531452257	750	0.383589792065713	
755	0.598322077386071	755	0.408751587947665	755	0.327322082334118	755	0.447875356829113	755	0.395479201051497	
