#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (JE795 inverted noARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE795 inverted noARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE795 inverted noARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE795 inverted noARC_Diffuse reflectance edge major)	
740	0.724676164588045	740	0.291600179621461	740	0.756801913609272	740	0.382878697476546	
745	0.725447326238646	745	0.298475099488664	745	0.754689207310828	745	0.413250468900917	
750	0.726774255992931	750	0.310225896559125	750	0.751319186622232	750	0.448441551185588	
755	0.728696224522621	755	0.329968004408044	755	0.751261259193574	755	0.477032723731512	
760	0.727630272118042	760	0.360919859871752	760	0.754676517686798	760	0.498430057401542	
765	0.729168383511753	765	0.397167759364075	765	0.760127941364327	765	0.512220292327319	
770	0.735489234065686	770	0.439783005447483	770	0.772192697503991	770	0.517394106422227	
775	0.740257918636631	775	0.477059634302076	775	0.784632487904662	775	0.52077784530967	
780	0.749171880040552	780	0.507721118851103	780	0.7980451209912	780	0.520169537235973	
785	0.759903594059907	785	0.529526484347938	785	0.810931973925617	785	0.521978876108494	
790	0.765569831761117	790	0.538161793393597	790	0.820146638838617	790	0.518573882897937	
795	0.771757862931723	795	0.539530653789192	795	0.829359498335639	795	0.513509487385124	
800	0.775949140471261	800	0.532451864255994	800	0.835109468096422	800	0.507119519654711	
805	0.779914457220548	805	0.521581428094402	805	0.838202126012036	805	0.499400829172788	
810	0.781530661513831	810	0.508114040284047	810	0.843609607491013	810	0.493759662734143	
815	0.781837374991789	815	0.493145833672215	815	0.841572654248481	815	0.482768383245381	
820	0.784005970627965	820	0.478688398321411	820	0.844802781016364	820	0.475600432402696	
825	0.783094243596141	825	0.463140081042844	825	0.845381256006101	825	0.466336066487188	
830	0.786303369149982	830	0.450764868689865	830	0.846691540264998	830	0.460101530189263	
835	0.784444127789963	835	0.438110141838056	835	0.847370592743495	835	0.454329423637037	
840	0.786333290587106	840	0.425382404424041	840	0.848877491822674	840	0.448607709145663	
845	0.788566317346591	845	0.416278987392077	845	0.850772118736941	845	0.445939293163706	
850	0.788080625832426	850	0.407276126602577	850	0.850814212041522	850	0.443493259434279	
855	0.790473077922214	855	0.399452839428726	855	0.852969660410285	855	0.443225364233361	
860	0.791037822191255	860	0.392662527026435	860	0.853950415382975	860	0.448224029131094	
865	0.794575004002072	865	0.389435749619623	865	0.857401414230141	865	0.453817910106576	
870	0.797734805404316	870	0.386548788711448	870	0.860733032004332	870	0.465351293535834	
875	0.796574964657017	875	0.385115233039282	875	0.860830919098328	875	0.480328375985762	
880	0.79876135689395	880	0.389692336604914	880	0.864393461917304	880	0.502845183284343	
885	0.801602784043508	885	0.395850031896507	885	0.866811289478815	885	0.530656056200484	
890	0.803530934588417	890	0.407150423897933	890	0.868033403912477	890	0.562859074357359	
895	0.8055483061236	895	0.420569123963673	895	0.867416143036643	895	0.594302416067258	
900	0.806152401432277	900	0.439918395059236	900	0.868622638097876	900	0.622902916974174	
905	0.810822939761523	905	0.466832623766452	905	0.868186323533061	905	0.64933376877463	
910	0.809834798225245	910	0.496605576098156	910	0.8661992480994	910	0.666891293588128	
915	0.813667241410929	915	0.53067277667691	915	0.867715851483799	915	0.678232725595497	
920	0.812756667711966	920	0.560775233883856	920	0.86541194118052	920	0.680574808801625	
925	0.810134666804749	925	0.590012582000683	925	0.862655006573778	925	0.676718920460836	
930	0.812552838075153	930	0.614327967550612	930	0.863209455486096	930	0.672901694945593	
935	0.808016568112116	935	0.629670599380948	935	0.860477709863338	935	0.664619765057858	
940	0.807198588156115	940	0.643509798254463	940	0.860451219833063	940	0.656313396673873	
945	0.806212677685765	945	0.645661925086207	945	0.860360875695929	945	0.644782262248116	
950	0.801714535625867	950	0.644311669253681	950	0.857060026751473	950	0.633063551768129	
955	0.802580296390652	955	0.639675510689935	955	0.857031562418971	955	0.623645032417304	
960	0.799689233527515	960	0.630229256341764	960	0.854838703163772	960	0.613764246074792	
965	0.799650619713464	965	0.617890885921269	965	0.855179508126779	965	0.602496196603622	
970	0.797389568652282	970	0.606261434528703	970	0.856661298266495	970	0.5933822148981	
975	0.796777499419099	975	0.59496132792442	975	0.854329840313302	975	0.583778482943654	
980	0.794945956843877	980	0.579850077157354	980	0.854404760234239	980	0.575068187407552	
985	0.795785150168442	985	0.566370799398098	985	0.855233174126477	985	0.566394688794142	
990	0.793110600130385	990	0.55290039220186	990	0.852690148873544	990	0.556337979732503	
995	0.79494019991373	995	0.542720529635125	995	0.855458723556715	995	0.54951979275734	
1000	0.794409096573392	1000	0.529085465502145	1000	0.856040137682386	1000	0.541661753875812	
1005	0.792308724328476	1005	0.516067606342655	1005	0.853077445713817	1005	0.532840811856243	
1010	0.795825304250605	1010	0.505518470779191	1010	0.856678300846874	1010	0.525182898138949	
1015	0.79469942096064	1015	0.492952787931619	1015	0.852937342997117	1015	0.519200267557601	
1020	0.793938894649765	1020	0.4861022707154	1020	0.855147322960472	1020	0.514626444212463	
1025	0.794155099583166	1025	0.473698062513334	1025	0.856701728605301	1025	0.50483489216161	
1030	0.794731596324307	1030	0.464822372185035	1030	0.856745123453208	1030	0.502035837496168	
1035	0.794918625504001	1035	0.45866693683887	1035	0.858765079317384	1035	0.496446546026219	
1040	0.796083443724107	1040	0.448915256713056	1040	0.852967760120011	1040	0.489923407817037	
1045	0.79737279778664	1045	0.442035682110014	1045	0.858552945067913	1045	0.491738585539323	
1050	0.79492372437778	1050	0.436467049282017	1050	0.856763595194228	1050	0.48571829784503	
1055	0.795816284421102	1055	0.431368236148577	1055	0.859400568689138	1055	0.483865023480973	
1060	0.801241266789629	1060	0.424531171591045	1060	0.867152615711733	1060	0.485731341281734	
1065	0.800321485381365	1065	0.41797880890712	1065	0.856928697075543	1065	0.483911913388478	
1070	0.802111360707519	1070	0.415441045057255	1070	0.862696101334996	1070	0.481879558213819	
1075	0.801086431847595	1075	0.416903866991082	1075	0.86245581198566	1075	0.484223303707455	
1080	0.804984141336129	1080	0.412072547762513	1080	0.870900720137708	1080	0.49708216638462	
1085	0.8017592808735	1085	0.409277859414625	1085	0.86502983811153	1085	0.499734577827922	
1090	0.79947878797498	1090	0.414471728065601	1090	0.874618779116695	1090	0.510640277472613	
1095	0.810074160183332	1095	0.410148149348421	1095	0.873564202687428	1095	0.515846831926938	
1100	0.801912254332633	1100	0.413199092833528	1100	0.866046954218417	1100	0.53643626647294	
