444+0i,4.94116+0i,0.96498+0i,23.4838757452-9.5362411536i
445+0i,4.92555+0i,0.94222+0i,23.3732642741-9.281903442i
446+0i,4.90994+0i,0.91945+0i,23.2621225011-9.028888666i
447+0i,4.89433+0i,0.89668+0i,23.1504311265-8.7772956488i
448+0i,4.87872+0i,0.87392+0i,23.038172672-8.5272219648i
449+0i,4.86311+0i,0.85115+0i,22.9253825496-8.278472153i
450+0i,4.8475+0i,0.82838+0i,22.8120428256-8.0311441i
451+0i,4.8318+0i,0.80647+0i,22.6958973791-7.793403492i
452+0i,4.81511+0i,0.7931+0i,22.5562767021-7.637727482i
453+0i,4.79843+0i,0.77972+0i,22.4169671865-7.4828636792i
454+0i,4.78174+0i,0.76635+0i,22.2777451051-7.328972898i
455+0i,4.76506+0i,0.75297+0i,22.1388329827-7.1758944564i
456+0i,4.74838+0i,0.73959+0i,22.0001192563-7.0237087284i
457+0i,4.73169+0i,0.72622+0i,21.8614947677-6.8724958236i
458+0i,4.71501+0i,0.71284+0i,21.7231784345-6.7220954568i
459+0i,4.69833+0i,0.69947+0i,21.585046508-6.5726817702i
460+0i,4.6848+0i,0.68824+0i,21.4736767424-6.448533504i
461+0i,4.67238+0i,0.67776+0i,21.3717762468-6.3335045376i
462+0i,4.65996+0i,0.66728+0i,21.2699646032-6.2189962176i
463+0i,4.64754+0i,0.6568+0i,21.1682418116-6.105008544i
464+0i,4.63512+0i,0.64632+0i,21.066607872-5.9915415168i
465+0i,4.6227+0i,0.63584+0i,20.9650627844-5.878595136i
466+0i,4.61028+0i,0.62536+0i,20.8636065488-5.7661694016i
467+0i,4.59786+0i,0.61488+0i,20.7622391652-5.6542643136i
468+0i,4.58558+0i,0.60463+0i,20.6619664995-5.5451584708i
469+0i,4.5751+0i,0.59728+0i,20.5747966116-5.465231456i
470+0i,4.56461+0i,0.58992+0i,20.4876588457-5.3855094624i
471+0i,4.55412+0i,0.58257+0i,20.4006211695-5.3061873768i
472+0i,4.54363+0i,0.57521+0i,20.3137070328-5.2270828246i
473+0i,4.53314+0i,0.56786+0i,20.22689328-5.1483777608i
474+0i,4.52266+0i,0.5605+0i,20.1402932256-5.06990186i
475+0i,4.51217+0i,0.55315+0i,20.0537031864-4.991813671i
476+0i,4.50168+0i,0.54579+0i,19.9672360983-4.9139438544i
477+0i,4.49131+0i,0.53855+0i,19.8818294136-4.837590001i
478+0i,4.48231+0i,0.53273+0i,19.8073016832-4.7757220126i
479+0i,4.47332+0i,0.52691+0i,19.7329576743-4.7140740824i
480+0i,4.46432+0i,0.52109+0i,19.6586182743-4.6526250176i
481+0i,4.45532+0i,0.51527+0i,19.5843731295-4.5913854728i
482+0i,4.44633+0i,0.50945+0i,19.5103111664-4.530365637i
483+0i,4.43733+0i,0.50362+0i,19.4362644245-4.4694562692i
484+0i,4.42834+0i,0.4978+0i,19.3623903156-4.408855304i
485+0i,4.41934+0i,0.49198+0i,19.2885217152-4.3484537864i
486+0i,4.41035+0i,0.48616+0i,19.2148355769-4.288271512i
