515+0i,3.7822794+0i,0.251259513+0i,14.2425061167914-1.90066736014786i
516+0i,3.77936192+0i,0.249803788+0i,14.2211745898469-1.88819784767791i
517+0i,3.77648548+0i,0.248366375+0i,14.2001567244202-1.87590401781547i
518+0i,3.7736498+0i,0.246946371+0i,14.17945030289-1.86377824706975i
519+0i,3.77085458+0i,0.24554288+0i,14.1590529575883-1.85181298726878i
520+0i,3.76809949+0i,0.244155009+0i,14.1389620981185-1.84000072978769i
521+0i,3.76538421+0i,0.242781869+0i,14.1191752130022-1.82833403201378i
522+0i,3.76270837+0i,0.241422578+0i,14.0996894164999-1.81680550989516i
523+0i,3.76007159+0i,0.240076262+0i,14.0805017503492-1.80540786435919i
524+0i,3.7574735+0i,0.238742055+0i,14.0616093343766-1.79413388999609i
525+0i,3.75491366+0i,0.237419098+0i,14.0430087659595-1.78297642845016i
526+0i,3.75239166+0i,0.236106544+0i,14.0246968699179-1.77192845315405i
527+0i,3.74990705+0i,0.234803556+0i,14.0066701737295-1.76098302001894i
528+0i,3.74745936+0i,0.233509307+0i,13.988925058396-1.75013327632853i
529+0i,3.74504809+0i,0.232222986+0i,13.9714576811859-1.73937250034679i
530+0i,3.74267275+0i,0.230943792+0i,13.9542642785292-1.72869407420014i
531+0i,3.74033282+0i,0.22967094+0i,13.9373408636887-1.7180915093645i
532+0i,3.73802776+0i,0.22840366+0i,13.9206833026292-1.7075584431312i
533+0i,3.73575699+0i,0.227141197+0i,13.9042871649593-1.69708862881943i
534+0i,3.73351996+0i,0.225882814+0i,13.8881482460578-1.68667598937993i
535+0i,3.73131608+0i,0.22462779+0i,13.8722620448263-1.67631456968373i
536+0i,3.72914473+0i,0.223375425+0i,13.8566238367928-1.66599857790052i
537+0i,3.7270053+0i,0.222125037+0i,13.8412289741658-1.65572238032339i
538+0i,3.72489714+0i,0.220875963+0i,13.826072512549-1.64548048574689i
539+0i,3.72281961+0i,0.21962756+0i,13.811149583489-1.6352675745289i
540+0i,3.72077206+0i,0.218379208+0i,13.7964552439899-1.62507851122266i
541+0i,3.71875379+0i,0.217130307+0i,13.7819841804214-1.61490830416023i
542+0i,3.71676413+0i,0.215880282+0i,13.7677313018983-1.60475217702377i
543+0i,3.71480237+0i,0.214628577+0i,13.7536912220926-1.59460549301865i
544+0i,3.71286782+0i,0.213374663+0i,13.7398587019812-1.58446383971209i
545+0i,3.71095975+0i,0.212118031+0i,13.7262282070447-1.5743229505805i
546+0i,3.70907744+0i,0.210858199+0i,13.7127942758314-1.56417877789986i
547+0i,3.70722015+0i,0.209594706+0i,13.6995512997828-1.55402743483305i
548+0i,3.70538715+0i,0.20832712+0i,13.6864937424576-1.54386526688902i
549+0i,3.7035777+0i,0.20705503+0i,13.673615994489-1.53368878356166i
550+0i,3.70179104+0i,0.205778052+0i,13.6609122971394-1.52349469824451i
551+0i,3.70002642+0i,0.204495826+0i,13.6483769658466-1.51327991795945i
552+0i,3.69828309+0i,0.203208017+0i,13.6360043156069-1.50304154604706i
553+0i,3.69656029+0i,0.201914315+0i,13.623788587003-1.4927768776231i
554+0i,3.69485727+0i,0.200614437+0i,13.611724093339-1.48248342203281i
555+0i,3.69317326+0i,0.199308123+0i,13.5998050004852-1.47215886072878i
556+0i,3.69150751+0i,0.197995138+0i,13.5880256217148-1.46180107774097i
557+0i,3.68985927+0i,0.196675272+0i,13.5763802697887-1.45140815113794i
558+0i,3.68822779+0i,0.195348339+0i,13.5648632573782-1.44097834526028i
559+0i,3.68661231+0i,0.19401418+0i,13.5534688222025-1.43051012860511i
560+0i,3.68501209+0i,0.192672657+0i,13.5421913506907-1.42000214091485i
561+0i,3.6834264+0i,0.191323656+0i,13.5310253028718-1.40945321090984i
562+0i,3.6818545+0i,0.189967086+0i,13.5199650654069-1.39886234088197i
563+0i,3.68029568+0i,0.188602879+0i,13.5090052462596-1.38822872163853i
564+0i,3.6787492+0i,0.187230993+0i,13.4981402317609-1.37755173142791i
565+0i,3.67721437+0i,0.185851402+0i,13.4873647793091-1.36683089223809i
566+0i,3.67569048+0i,0.184464105+0i,13.4766734987292-1.35606590930044i
567+0i,3.67417684+0i,0.18306912+0i,13.4660611488948-1.34525664164636i
568+0i,3.67267278+0i,0.18166649+0i,13.455522635364-1.33440314572228i
569+0i,3.67117763+0i,0.180256272+0i,13.4450528674171-1.32350558686719i
570+0i,3.66969072+0i,0.178838545+0i,13.4346467552764-1.3125642979296i
571+0i,3.66821141+0i,0.177413407+0i,13.4242994314708-1.30157976768875i
572+0i,3.66673908+0i,0.175980973+0i,13.4140061779412-1.29055262207105i
573+0i,3.6652731+0i,0.174541375+0i,13.4037622059967-1.27948361324903i
574+0i,3.66381287+0i,0.173094765+0i,13.3935629487072-1.26837365547325i
575+0i,3.6623578+0i,0.171641306+0i,13.3834039172955-1.25722375166257i
576+0i,3.66090731+0i,0.17018118+0i,13.3732806983852-1.24603505177285i
577+0i,3.65946083+0i,0.168714585+0i,13.3631889551126-1.23480883051441i
578+0i,3.65801782+0i,0.167241728+0i,13.3531245758531-1.22354644254319i
579+0i,3.65657775+0i,0.165762834+0i,13.3430835246594-1.21224938116269i
580+0i,3.65514011+0i,0.16427814+0i,13.333061916449-1.20091923742039i
581+0i,3.65370439+0i,0.162787893+0i,13.3230558713979-1.1895576785859i
582+0i,3.6522701+0i,0.161292354+0i,13.3130616598951-1.17816648374563i
583+0i,3.65083678+0i,0.159791792+0i,13.3030757774102-1.16674750275142i
584+0i,3.64940398+0i,0.158286488+0i,13.2930947969565-1.15530267857484i
585+0i,3.64797126+0i,0.156776732+0i,13.2831153700894-1.14383402514544i
586+0i,3.6465382+0i,0.155262824+0i,13.2731342995428-1.13234363751175i
587+0i,3.6451044+0i,0.153745068+0i,13.263148540965-1.1208336476902i
588+0i,3.64366947+0i,0.15222378+0i,13.2531551274126-1.10930627958799i
589+0i,3.64223305+0i,0.15069928+0i,13.2431513175198-1.09776379645441i
590+0i,3.64079477+0i,0.149171896+0i,13.2331343027031-1.08620851757557i
591+0i,3.63935431+0i,0.147641959+0i,13.2231016456582-1.07464279964699i
592+0i,3.63791135+0i,0.146109808+0i,13.213050914465-1.06306905773904i
593+0i,3.63646557+0i,0.144575785+0i,13.2029796841871-1.05148972881644i
594+0i,3.63501669+0i,0.143040233+0i,13.1928858283219-1.03990726859298i
595+0i,3.63356445+0i,0.141503504+0i,13.1827673706595-1.02832420336967i
596+0i,3.63210858+0i,0.139965949+0i,13.1726222700301-1.01674304854149i
597+0i,3.63064885+0i,0.138427919+0i,13.1624487832477-1.00516632985049i
598+0i,3.62918503+0i,0.136889771+0i,13.1522451725717-0.993596615346656i
